Game,Player,Total Kills,Ranking
2,<world>,0,1
2,Isgalamido,-5,2
3,Isgalamido,1,1
3,<world>,0,2
3,Dono da Bola,-1,3
3,Zeh,-2,4
4,Zeh,20,1
4,Isgalamido,19,2
4,Dono da Bola,13,3
4,Assasinu Credi,13,4
4,<world>,0,5
5,Isgalamido,2,1
5,Assasinu Credi,1,2
5,Zeh,1,3
5,<world>,0,4
6,Oootsimo,8,1
6,Zeh,7,2
6,Isgalamido,3,3
6,Dono da Bola,2,4
6,Assasinu Credi,1,5
6,<world>,0,6
6,Maluquinho,0,7
7,Assasinu Credi,22,1
7,Oootsimo,20,2
7,Isgalamido,16,3
7,Dono da Bola,12,4
7,Zeh,9,5
7,<world>,0,6
7,Mal,-3,7
8,Isgalamido,20,1
8,Oootsimo,16,2
8,Zeh,12,3
8,Assasinu Credi,10,4
8,Dono da Bola,3,5
8,<world>,0,6
8,Mal,-2,7
9,Zeh,12,1
9,Assasinu Credi,10,2
9,Oootsimo,9,3
9,Chessus,8,4
9,Mal,3,5
9,Dono da Bola,2,6
9,Isgalamido,1,7
9,<world>,0,8
10,Zeh,7,1
10,Isgalamido,6,2
10,Chessus,5,3
10,Assasinu Credi,3,4
10,Dono da Bola,3,5
10,Mal,1,6
10,<world>,0,7
10,Oootsimo,-1,8
11,Isgalamido,5,1
11,Oootsimo,4,2
11,<world>,0,3
11,Dono da Bola,-2,4
11,Assasinu Credi,-3,5
12,Isgalamido,26,1
12,Assasinu Credi,20,2
12,Zeh,13,3
12,Chessus,13,4
12,Oootsimo,13,5
12,Dono da Bola,3,6
12,<world>,0,7
12,Mal,-6,8
13,Oootsimo,2,1
13,Zeh,2,2
13,<world>,0,3
13,Isgalamido,-1,4
13,Dono da Bola,-1,5
14,Isgalamido,22,1
14,Oootsimo,9,2
14,Chessus,7,3
14,Assasinu Credi,7,4
14,Zeh,5,5
14,Dono da Bola,2,6
14,<world>,0,7
14,Mal,-2,8
15,<world>,0,1
15,Zeh,-3,2
17,Oootsimo,1,1
17,<world>,0,2
17,Zeh,0,3
17,Isgalamido,0,4
17,Mal,-1,5
17,Dono da Bola,-2,6
17,Assasinu Credi,-3,7
18,Zeh,2,1
18,Assasinu Credi,2,2
18,Isgalamido,1,3
18,<world>,0,4
18,Dono da Bola,-1,5
18,Mal,-1,6
19,Zeh,20,1
19,Isgalamido,14,2
19,Dono da Bola,14,3
19,Oootsimo,10,4
19,Assasinu Credi,9,5
19,Mal,2,6
19,<world>,0,7
20,Dono da Bola,2,1
20,Oootsimo,1,2
21,Oootsimo,22,1
21,Zeh,19,2
21,Assasinu Credi,19,3
21,Isgalamido,17,4
21,Dono da Bola,14,5
21,Mal,6,6
21,<world>,0,7
